cod_comuna,cod_region,comuna,region,poblacion,encuentros,encuentros_10000hab,pcent_elas,pcent_votos,idh,color
13601,13,Talagante,Metropolitana,57975,32,5.520,0.213,0.430,0.749,#717290
13402,13,Buin,Metropolitana,56534,28,4.953,0.186,0.466,0.731,#717290
13102,13,Cerrillos,Metropolitana,51997,57,10.962,0.380,0.478,0.743,#717290
13404,13,Paine,Metropolitana,48929,19,3.883,0.127,0.363,0.718,#717290
13302,13,Lampa,Metropolitana,46979,29,6.173,0.193,0.304,0.697,#717290
13108,13,Independencia,Metropolitana,42814,96,22.423,0.639,0.527,0.709,#717290
13604,13,Padre Hurtado,Metropolitana,37634,15,3.986,0.100,0.274,0.728,#717290
13603,13,Isla de Maipo,Metropolitana,24250,19,7.835,0.127,0.193,0.724,#717290
13602,13,El Monte,Metropolitana,23389,13,5.558,0.087,0.209,0.688,#717290
13503,13,Curacaví,Metropolitana,23008,12,5.216,0.080,0.193,0.710,#717290
13403,13,Calera de Tango,Metropolitana,20746,7,3.374,0.047,0.174,0.792,#717290
13202,13,Pirque,Metropolitana,17991,24,13.340,0.160,0.153,0.807,#717290
13303,13,Tiltil,Metropolitana,12156,17,13.985,0.113,0.101,,#717290
13203,13,San José de Maipo,Metropolitana,11632,26,22.352,0.173,0.118,0.759,#717290
13504,13,María Pinto,Metropolitana,9081,5,5.506,0.033,0.081,0.698,#717290
13505,13,San Pedro,Metropolitana,6155,3,4.874,0.020,0.064,0.701,#717290
13502,13,Alhué,Metropolitana,3664,3,8.188,0.020,0.038,0.700,#717290
14101,14,Valdivia,Los Ríos,128296,188,14.654,1.252,0.927,0.754,#785E79
14201,14,La Unión,Los Ríos,30587,42,13.731,0.280,0.255,0.687,#785E79
14108,14,Panguipulli,Los Ríos,27664,10,3.615,0.067,0.223,0.627,#785E79
14204,14,Río Bueno,Los Ríos,24407,24,9.833,0.160,0.222,0.624,#785E79
14104,14,Los Lagos,Los Ríos,16248,17,10.463,0.113,0.134,0.658,#785E79
14107,14,Paillaco,Los Ríos,15513,37,23.851,0.246,0.150,0.647,#785E79
14106,14,Mariquina,Los Ríos,13597,9,6.619,0.060,0.131,0.653,#785E79
14103,14,Lanco,Los Ríos,12538,8,6.381,0.053,0.121,0.648,#785E79
14202,14,Futrono,Los Ríos,11533,8,6.937,0.053,0.095,0.637,#785E79
14203,14,Lago Ranco,Los Ríos,7272,5,6.876,0.033,0.071,0.606,#785E79
14105,14,Máfil,Los Ríos,5507,3,5.448,0.020,0.054,0.655,#785E79
14102,14,Corral,Los Ríos,4002,4,9.995,0.027,0.042,0.658,#785E79
15101,15,Arica,Arica y Parinacota,137539,198,14.396,1.318,0.942,0.736,#804A62
15102,15,Camarones,Arica y Parinacota,1351,3,22.206,0.020,0.011,0.751,#804A62
15201,15,Putre,Arica y Parinacota,1122,6,53.476,0.040,0.017,0.707,#804A62
15202,15,General Lagos,Arica y Parinacota,1070,1,9.346,0.007,0.006,0.670,#804A62
,1,,Tarapacá,244042,299,12.252,1.991,1.146,0.697,#0054A4
,2,,Antofagasta,441747,468,10.594,3.116,2.305,0.738,#544076
,3,,Atacama,214466,278,12.962,1.851,1.414,0.715,#A92C48
,4,,Coquimbo,562871,620,11.015,4.128,3.931,0.688,#EE2B2A
,5,,Valparaíso,1407244,1439,10.226,9.581,10.790,0.719,#F47B4D
,6,,O'Higgins,694233,635,9.147,4.228,5.651,0.671,#FBCA70
,7,,Maule,792081,831,10.491,5.533,6.779,0.663,#FEE67E
,8,,Biobío,1602169,1209,7.546,8.050,12.872,0.646,#FDB56E
,9,,Araucanía,752959,693,9.204,4.614,5.970,0.643,#FC835E
,10,,Los Lagos,651444,656,10.070,4.368,4.766,0.667,#DD7368
,11,,Aisén,79913,197,24.652,1.312,0.563,0.659,#A97A82
,12,,Magallanes,125850,229,18.196,1.525,0.880,0.760,#76809D
,13,,Metropolitana,5440250,6902,12.687,45.955,39.531,0.754,#717290
,14,,Los Ríos,297164,355,11.946,2.364,2.425,0.655,#785E79
,15,,Arica y Parinacota,141082,208,14.743,1.385,0.976,0.716,#804A62
